name,birthday,height,v1,v2,v3,list_film,source
Rina Ishihara,8/29/87,155,85,56,84,"[""IPZ-032"",""IPZ-295"",""HODV-20520"",""IPZ-367"",""SHKD-595"",""RBD-667"",""RBD-804"",""ADN-057"",""ADN-093"",""RBD-704"",""ADN-046"",""SUPD-106"",""SHKD-676"",""SHKD-707"",""RBD-690"",""ADN-092"",""IPZ-310"",""RBD-728"",""IPZ-242"",""HODV-20514"",""RBD-823"",""BNDV-00596"",""RBD-787"",""IPZ-004"",""RBD-837"",""ATID-282"",""STAR-547"",""RBD-598"",""SVDVD-439"",""RBD-682"",""HBAD-268"",""RBD-780"",""SHKD-748"",""RBD-806"",""IPZ-067"",""ADN-117"",""IPZ-221"",""IPZ-108"",""AVOP-115"",""IPZ-047"",""AVOP-227"",""RBD-725"",""IPZ-198"",""HODV-20498"",""BF-503"",""RBD-697"",""RBD-816"",""RBD-744"",""SHKD-541"",""HODV-20507"",""RBD-800"",""IPZ-133"",""HODV-20510"",""IPZ-340"",""HODV-20502"",""SHKD-546"",""IPZ-178"",""IPZ-089"",""HBAD-266""]",https://www.asianscreens.com/rina_ishihara2.asp
Rina Ishihara,8/29/87,155,85,56,84,"[""IPZ-032"",""IPZ-295"",""HODV-20520"",""IPZ-367"",""SHKD-595"",""RBD-667"",""RBD-804"",""ADN-057"",""ADN-093"",""RBD-704"",""ADN-046"",""SUPD-106"",""SHKD-676"",""SHKD-707"",""RBD-690"",""ADN-092"",""IPZ-310"",""RBD-728"",""IPZ-242"",""HODV-20514"",""RBD-823"",""BNDV-00596"",""RBD-787"",""IPZ-004"",""RBD-837"",""ATID-282"",""STAR-547"",""RBD-598"",""SVDVD-439"",""RBD-682"",""HBAD-268"",""RBD-780"",""SHKD-748"",""RBD-806"",""IPZ-067"",""ADN-117"",""IPZ-221"",""IPZ-108"",""AVOP-115"",""IPZ-047"",""AVOP-227"",""RBD-725"",""IPZ-198"",""HODV-20498"",""BF-503"",""RBD-697"",""RBD-816"",""RBD-744"",""SHKD-541"",""HODV-20507"",""RBD-800"",""IPZ-133"",""HODV-20510"",""IPZ-340"",""HODV-20502"",""SHKD-546"",""IPZ-178"",""IPZ-089"",""HBAD-266""]",https://www.asianscreens.com/Rina_Ishihara2.asp
Yui Aoba,12/11/94,158,86,56,87,"[""SNIS-084"",""BRA-006"",""SNIS-062"",""SNIS-141"",""SNIS-122"",""YSN-421"",""SNIS-040"",""SNIS-103"",""YST-30""]",https://www.asianscreens.com/Yui_Aoba2.asp
Miyu Shiina,4/20/92,149,86,60,88,"[""SERO-0226"",""HERG-007"",""MDTM-006"",""ADK-013"",""NUMA-003"",""KCPN-045"",""MDTM-024"",""DYET-001"",""URAM-003""]",https://www.asianscreens.com/Miyu_Shiina2.asp
Saori Hara,1/1/88,165,85,61,85,"[""STAR-181"",""STAR-201"",""FORM-009"",""STAR-274"",""STAR-235"",""STAR-248"",""STAR-214"",""STAR-152"",""STAR-239"",""SDVC-001"",""STAR-164"",""STAR-176"",""STAR-185"",""STAR-141"",""STAR-260"",""STAR-242"",""SDDS-020"",""STAR-280"",""STAR-231"",""STAR-222"",""STAR-267"",""STAR-227"",""STAR-147"",""STAR-218"",""STAR-197"",""STAR-189"",""STAR-193"",""STAR-170"",""STAR-205"",""STAR-209"",""STAR-254""]",https://www.asianscreens.com/Saori_Hara2.asp
Mirina Aikawa,12/19/87,162,84,58,86,"[""BTYD-019"",""BTYD-007""]",https://www.asianscreens.com/Mirina_Aikawa2.asp
Chika Arimura,4/15/90,158,85,58,88,"[""DMBJ-003"",""TPPN-047"",""MDS-795"",""EKDV-355"",""NMD-004"",""SHKD-613"",""ATFB-223"",""LANK-03"",""STM-006"",""MOMJ-159"",""WANZ-354"",""MILD-903"",""MIAD-790"",""23ID-011"",""DJSK-014"",""GVG-049"",""CRMN-041"",""ASFB-206"",""ASFB-174"",""AAA-005"",""ANX-005"",""AKB-054"",""PPS-247"",""WNZ-324"",""ATFB-285"",""SUPD-127"",""NATR-104"",""VENU-382"",""URGF-002"",""ATFB-159"",""KMI-083"",""RCT-705"",""EKDV-367"",""NATR-188"",""HERW-007"",""ODFA-002"",""NATR-231"",""YAG-091"",""OKSN-218"",""ATFB-177"",""DMBK-004"",""T28-406"",""HODV-20995"",""ONEZ-030"",""UPSM-180"",""SEN-004"",""TPRO-001"",""KNCS-018"",""GG-245"",""ADK-018"",""BEB-042"",""T28-372"",""DJSK-044"",""SMA-601"",""GRCH-008"",""NATR-416"",""ASFB-254"",""ATFB-233"",""HAVD-853"",""MDYD-985"",""KNCS-047"",""BDSR-216"",""SMA-561"",""MSTT-006"",""WSS-177""]",https://www.asianscreens.com/Chika_Arimura2.asp
Sora Aoi,11/11/83,155,87,58,83,"[""CON-001"",""XS-2369"",""ONED-881"",""SOE-523"",""DV-286"",""ONED-025"",""ONED-014"",""SFLB-001"",""ONED-602"",""ONSD-123"",""XS-2320"",""DV-381"",""XS-2349"",""SOE-454"",""DV-249"",""SOE-370"",""SOE-616"",""TSDR-70104"",""XS-2311"",""RKI-015"",""DV-369"",""SOE-556"",""ONED-335"",""SOE-046"",""ONED-539"",""ONED-136"",""ONED-356"",""ONED-314"",""ONED-293"",""SOE-183"",""ONED-269"",""SOE-285"",""SOE-088"",""ONED-047"",""SOE-224"",""SOE-316"",""SOE-257"",""ONED-927"",""ONED-036"",""SOE-019"",""ONED-433"",""ONED-065"",""ONED-168"",""ONED-104"",""ONED-201"",""ONED-404"",""ONED-944"",""SOE-132"",""ONED-730"",""ONED-238"",""ONSD-588"",""ONSD-539"",""XV-117"",""XV-139"",""SOE-586"",""XS-2331"",""ONED-003"",""DV-236"",""ONSD-441"",""ONSD-024"",""GBTD-001"",""SOE-395"",""SOE-422"",""XS-2338"",""DV-268"",""DV-349"",""DV-327"",""XV-134"",""XS-2358"",""SOE-490"",""DV-311"",""SOE-339""]",https://www.asianscreens.com/Sora_Aoi2.asp
Tsuna Kimura,3/15/93,149,81,58,86,"[""MIAD-562"",""GEN-090"",""PSD-473"",""STM-015"",""KDKJ-003"",""EKDV-289"",""WANZ-495"",""DDT-419"",""TGAV-020"",""RHTS-044"",""APAR-049"",""MOBRC-030"",""KTDS-496"",""MDSH-012"",""MIAD-962"",""SERO-0143"",""TYOD-153"",""EKDV-238"",""CUT-001"",""NHDTA-309"",""NKD-104"",""EKDV-281"",""ARA-003"",""GVG-413"",""MDS-705"",""RHTS-023"",""VGD-098"",""TMCY-037"",""JUMP-5014"",""HERX-020"",""HAVD-822"",""MDS-701"",""SDMT-709"",""HERP-005"",""SAMA-581"",""PJD-092"",""QP-012"",""BF-190""]",https://www.asianscreens.com/Tsuna_Kimura2.asp
Hikari Hino,3/7/86,155,90,52,82,"[""RKI-074"",""YSN-192"",""TRND-11"",""WANZ-107"",""OKAD-236"",""NWF-033"",""MVSD-077"",""TYOD-012"",""SUN-05"",""WSS-045"",""JBD-171"",""MIGD-352"",""DASD-079"",""HAVD-393"",""DDT-186"",""EC-077"",""VENU-206"",""IESP-308"",""EBOD-001"",""EBOD-040"",""SDMS-958"",""DASD-115"",""MIDD-195"",""EKDV-043"",""JUC-361"",""CRPD-312"",""VDD-033"",""CETD-132"",""SMA-364"",""SUPS-078"",""MIDD-165"",""MIDD-212"",""YSN-187"",""SBB-074"",""DVDPS-936"",""DWD-030"",""MIDD-172"",""AD-211"",""EKDV-349"",""NWF-068"",""SMA-307"",""KK-027"",""NWF-152"",""MOMJ-030"",""DDT-267"",""DDK-025"",""REAL-356"",""MCSR-098"",""SBMX-027"",""SBMX-033"",""RBD-215"",""PPS-201"",""MXGS-063"",""REAL-354"",""MIZ-010"",""RBD-435"",""SC-18D"",""ELO-283"",""GTJ-013"",""DDT-272"",""NWF-205"",""CRPD-337"",""VENU-222"",""JUFD-107"",""DSOT-007"",""IESP-559"",""ATKD-119"",""WNZ-175"",""SVDVD-164"",""MIAD-476"",""MAD-104"",""DDT-306"",""MIAD-223"",""NWF-077"",""MLW-2015""]",https://www.asianscreens.com/Hikari_Hino2.asp
